bn:00000004n	صفر
bn:00008530n	تار
bn:00008568n	معاہدہ
bn:00008572n	تاجر
bn:00008594n	چھال
bn:00008639n	بادشاہ
bn:00008690n	بیرل
bn:00008691n	بیرل
bn:00008713n	رکاوٹ
bn:00008714n	رکاوٹ
bn:00008715n	رکاوٹ
bn:00008782n	بنیاد
bn:00008783n	بنیاد
bn:00008784n	بنیاد
bn:00008785n	بنیاد
bn:00008786n	بنیاد
bn:00008792n	گھر
bn:00008793n	جڑ
bn:00008800n	میں
bn:00008824n	خانہ
bn:00008864n	حوض
bn:00008870n	بنیاد
bn:00008870n	زمین
bn:00008872n	ٹوکری
bn:00008873n	ٹوکری
bn:00008912n	آواز
bn:00008985n	مقدار
bn:00008985n	ڈھیر
bn:00008990n	غسل
bn:00008991n	غسل
bn:00009020n	خانہ
bn:00009041n	چھڑی
bn:00009078n	جنگ
bn:00009079n	جنگ
bn:00009080n	تنازع
bn:00009183n	جنگ
bn:00009186n	لڑاکا
bn:00009205n	طوائف
bn:00009212n	خلیج
bn:00009213n	خلیج
bn:00009254n	بازار
bn:00009263n	ساحل
bn:00009291n	قطرہ
bn:00009313n	شعاع
bn:00009314n	کرن
bn:00009315n	شعاع
bn:00009316n	کرن
bn:00009361n	داڑھی
bn:00009379n	موجودگی
bn:00009395n	دل
bn:00009472n	بستر
bn:00009473n	بستر
bn:00009474n	بستر
bn:00009477n	پرت
bn:00009485n	بستر
bn:00009493n	چادر
bn:00009503n	افراتفری
bn:00009543n	گوشت
bn:00009544n	گوشت
bn:00009586n	شیطان
bn:00009589n	جو
bn:00009616n	باپ
bn:00009616n	والد
bn:00009617n	بھیک
bn:00009631n	بانی
bn:00009632n	آغاز
bn:00009632n	شروع
bn:00009633n	آغاز
bn:00009633n	شروع
bn:00009634n	آغاز
bn:00009634n	شروع
bn:00009635n	آغاز
bn:00009635n	اصل
bn:00009635n	جڑ
bn:00009635n	ماخذ
bn:00009636n	آغاز
bn:00009636n	شروع
bn:00009652n	جانب
bn:00009653n	خاطر
bn:00009654n	رویہ
bn:00009655n	رویہ
bn:00009656n	رویہ
bn:00009668n	مبصر
bn:00009676n	زندگی
bn:00009676n	موجودگی
bn:00009676n	وجود
bn:00009716n	ایمان
bn:00009716n	عقیدہ
bn:00009716n	یقین
bn:00009717n	احساس
bn:00009717n	اندازہ
bn:00009717n	تاثر
bn:00009717n	تصور
bn:00009717n	خیال
bn:00009717n	عقیدہ
bn:00009717n	یقین
bn:00009720n	مومن
bn:00009727n	گھنٹا
bn:00009727n	گھنٹی
bn:00009728n	گھنٹی
bn:00009796n	پیٹ
bn:00009815n	املاک
bn:00009815n	ملکیت
bn:00009819n	شہد
bn:00009819n	عزیز
bn:00009819n	محبت
bn:00009852n	عدلیہ
bn:00009867n	باری
bn:00009867n	موڑ
bn:00009868n	موڑ
bn:00009869n	موڑ
bn:00009897n	مدد
bn:00009904n	فائدہ
bn:00009905n	بہبود
bn:00009905n	فائدہ
bn:00009992n	میراث
bn:00010073n	جگہ
bn:00010073n	حیثیت
bn:00010073n	عہدہ
bn:00010073n	مقام
bn:00010073n	میں
bn:00010110n	والا
bn:00010111n	شرط
bn:00010147n	حماقت
bn:00010148n	دغا
bn:00010161n	ساتھی
bn:00010203n	بھارت
bn:00010217n	کتاب
bn:00010243n	جھگڑا
bn:00010248n	بائیسکل
bn:00010260n	حکم
bn:00010260n	پیشکش
bn:00010261n	کھیل
bn:00010270n	مرغی
bn:00010307n	ڈھیر
bn:00010390n	غصہ
bn:00010392n	اقدام
bn:00010395n	وقت
bn:00010411n	الزام
bn:00010422n	میں
bn:00010429n	بٹوہ
bn:00010534n	حیات
bn:00010534n	زندگی
bn:00010543n	حیاتیات
bn:00010605n	پرندہ
bn:00010606n	پرندہ
bn:00010649n	آواز
bn:00010649n	گیت
bn:00010663n	پیدائش
bn:00010664n	پیدائش
bn:00010665n	پیدائش
bn:00010678n	سالگرہ
bn:00010679n	سالگرہ
bn:00010686n	پیدائش
bn:00010712n	روم
bn:00010726n	ٹکڑا
bn:00010727n	ٹکڑا
bn:00010728n	لمحہ
bn:00010728n	منٹ
bn:00010729n	ٹکڑا
bn:00010732n	میں
bn:00010744n	میں
bn:00010788n	تلخی
bn:00010816n	سیاہی
bn:00010817n	سیاہی
bn:00010894n	رکاوٹ
bn:00010937n	گاڑی
bn:00011081n	تلوار
bn:00011095n	الزام
bn:00011110n	جگہ
bn:00011117n	جگہ
bn:00011135n	دھماکا
bn:00011224n	مریم
bn:00011225n	احسان
bn:00011241n	خدا
bn:00011241n	ساتھی
bn:00011241n	لڑکا
bn:00011246n	اندھا
bn:00011246n	اندھے
bn:00011247n	اندھا
bn:00011271n	پن
bn:00011276n	لمحہ
bn:00011303n	پھولنا
bn:00011305n	دھبہ
bn:00011327n	محاصرہ
bn:00011346n	خون
bn:00011347n	خون
bn:00011348n	خون
bn:00011357n	بھائی
bn:00011392n	خون
bn:00011394n	خون
bn:00011396n	رگ
bn:00011421n	پھول
bn:00011422n	پھول
bn:00011423n	پھول
bn:00011424n	پھول
bn:00011425n	چوٹی
bn:00011428n	غلطی
bn:00011436n	داغ
bn:00011436n	دھبہ
bn:00011442n	چوٹ
bn:00011444n	جھٹکا
bn:00011468n	دھماکا
bn:00011477n	نیلا
bn:00011479n	نیلا
bn:00011639n	تختہ
bn:00011672n	فخر
bn:00011674n	کشتی
bn:00011737n	پیش
bn:00011744n	جسم
bn:00011745n	ادارہ
bn:00011745n	جسم
bn:00011746n	جسم
bn:00011747n	جسم
bn:00011748n	جسم
bn:00011749n	جسم
bn:00011750n	جسم
bn:00011766n	آب
bn:00011766n	پانی
bn:00011781n	محافظ
bn:00011849n	والا
bn:00011973n	بانڈز
bn:00011974n	بانڈز
bn:00011984n	غلامی
bn:00011999n	ہڈی
bn:00012000n	ہڈی
bn:00012001n	ہاتھی
bn:00012017n	ہڈی
bn:00012047n	سینہ
bn:00012054n	پیسہ
bn:00012059n	کتاب
bn:00012060n	کتاب
bn:00012061n	ریکارڈ
bn:00012061n	کتاب
bn:00012062n	کتاب
bn:00012083n	حوالہ
bn:00012133n	کتابچہ
bn:00012135n	طالب
bn:00012135n	علم
bn:00012157n	حوصلہ
bn:00012166n	جوتا
bn:00012171n	ٹھوکر
bn:00012195n	شراب
bn:00012196n	شراب
bn:00012212n	سرحد
bn:00012213n	حاشیہ
bn:00012213n	سرحد
bn:00012214n	کنارہ
bn:00012232n	بوریت
bn:00012273n	مویشی
bn:00012286n	سینہ
bn:00012287n	سینہ
bn:00012289n	دل
bn:00012293n	مالک
bn:00012295n	مالک
bn:00012327n	مصیبت
bn:00012327n	پریشانی
bn:00012399n	شاخ
bn:00012403n	چٹان
bn:00012411n	چھلانگ
bn:00012411n	چھلانگوں
bn:00012417n	حد
bn:00012417n	سرحد
bn:00012418n	سرحد
bn:00012419n	حد
bn:00012441n	طبقہ
bn:00012465n	قوس
bn:00012465n	کمان
bn:00012466n	قوس
bn:00012467n	قوس
bn:00012468n	قوس
bn:00012524n	خانہ
bn:00012525n	خانہ
bn:00012526n	خانہ
bn:00012569n	لڑکا
bn:00012570n	لڑکا
bn:00012571n	بچہ
bn:00012571n	بیٹا
bn:00012571n	لڑکا
bn:00012572n	لڑکا
bn:00012596n	جوڑا
bn:00012596n	جوڑی
bn:00012597n	جوڑا
bn:00012679n	دماغ
bn:00012680n	دماغ
bn:00012680n	ذہن
bn:00012680n	ذہنیت
bn:00012681n	دماغ
bn:00012681n	ذہن
bn:00012681n	سر
bn:00012682n	دماغ
bn:00012705n	حوصلہ
bn:00012706n	بصیرت
bn:00012738n	شاخ
bn:00012739n	شاخ
bn:00012758n	قسم
bn:00012759n	قسم
bn:00012789n	پیتل
bn:00012839n	بہادری
bn:00012839n	ہمت
bn:00012873n	روٹی
bn:00012877n	حمایت
bn:00012877n	روزی
bn:00012886n	پیٹ
bn:00012892n	وسعت
bn:00012892n	چوڑائی
bn:00012893n	چوڑائی
bn:00012898n	ٹوٹنا
bn:00012899n	آرام
bn:00012901n	وقفہ
bn:00012930n	ناشتا
bn:00012930n	ناشتہ
bn:00012940n	دریافت
bn:00012944n	علیحدگی
bn:00012950n	سینہ
bn:00012965n	سانس
bn:00012966n	سانس
bn:00012968n	سانس
bn:00012973n	سانس
bn:00012992n	تعلیم
bn:00012993n	پرورش
bn:00013043n	رشوت
bn:00013047n	اینٹ
bn:00013048n	اینٹ
bn:00013066n	دلہن
bn:00013077n	پل
bn:00013078n	پل
bn:00013079n	پل
bn:00013080n	پل
bn:00013081n	پل
bn:00013121n	روشنی
bn:00013123n	روشنی
bn:00013135n	کنارا
bn:00013144n	کنارا
bn:00013173n	برطانیہ
bn:00013194n	پاؤنڈ
bn:00013238n	نشریات
bn:00013281n	غم
bn:00013326n	کانسی
bn:00013340n	جو
bn:00013371n	بھائی
bn:00013372n	دوست
bn:00013380n	خیرات
bn:00013389n	پیشانی
bn:00013464n	زخم
bn:00013493n	ملاقات
bn:00013560n	قزاق
bn:00013590n	بالٹی
bn:00013623n	کسان
bn:00013628n	بدھ
bn:00013632n	بدھ
bn:00013639n	بجٹ
bn:00013640n	بجٹ
bn:00013697n	کیڑا
bn:00013719n	والا
bn:00013722n	تعمیر
bn:00013722n	عمارت
bn:00013723n	تعمیر
bn:00013723n	عمارت
bn:00013767n	اکثریت
bn:00013768n	حجم
bn:00013768n	مقدار
bn:00013807n	گولی
bn:00013843n	دھمکی
bn:00013874n	گروہ
bn:00013874n	ہجوم
bn:00013875n	گروہ
bn:00013896n	احمقانہ
bn:00013941n	بوجھ
bn:00013942n	بوجھ
bn:00013943n	اثر
bn:00013980n	تدفین
